football_news
Disappointing India salvage last-gasp draw
Ratings: Stimac 3/10 as India drop points at home again

LIVE Transfer Talk: Juventus to swoop amid Cavani's PSG contract impasse
Man United ready to splash the cash in January
"Toe Poke Daily: Cristiano Ronaldo joins soccer legends Pele, Puskas and Romario in 700-goal club"
"Valencia are a mess, but the Mestalla could offer salvation"
"England's faith in protocol was rewarded, now UEFA must get tough"
Southgate: England made a major statement
